137	2017-09-25	TTM-00000002	1.03								1	1.03	1.01	0.01	2017-11-27 15:14:32
138	2017-09-25	TTM-00000009					0.1				1	0.1	-0.9	0.5	2017-11-27 15:14:32
139	2017-09-25	TTM-00000010	2								1	2	1.96	0.02	2017-11-27 15:14:33
140	2017-09-26	TTM-00000002	2.06		1.03		1.03				4	4.12	3.06	0.53	2017-11-27 15:14:36
141	2017-09-26	TTM-00000009					0.2				2	0.2	-1.8	1	2017-11-27 15:14:36
142	2017-09-27	TTM-00000002	2.2600000000000002		5.1899999999999995						6	7.45	7.3	0.05	2017-11-27 15:14:42
143	2017-09-27	TTM-00000009					0.6				6	0.6	-5.4	3	2017-11-27 15:14:42
144	2017-09-28	TTM-00000001					0.1				1	0.1	-0.9	0.5	2017-11-27 15:14:47
145	2017-09-28	TTM-00000002	0.1								1	0.1	0.1	0	2017-11-27 15:14:47
146	2017-09-29	TTM-00000002	0.1								1	0.1	0.1	0	2017-11-27 15:14:55
147	2017-09-29	TTM-00000013	0.5		1.3						9	1.8	1.76	0.01	2017-11-27 15:14:55
148	2017-10-03	TTM-00000002	0.61								2	0.61	0.6	0.01	2017-11-27 15:15:00
149	2017-10-03	TTM-00000013	0.1								1	0.1	0.1	0	2017-11-27 15:15:00
150	2017-10-04	TTM-00000002	0.30000000000000004								3	0.3	0.29	0	2017-11-27 15:15:04
151	2017-10-04	TTM-00000011					1				1	1	0	0.5	2017-11-27 15:15:04
152	2017-10-04	TTM-00000013	0.2								2	0.2	0.2	0	2017-11-27 15:15:04
153	2017-10-05	TTM-00000001	5								1	5	4.9	0.05	2017-11-27 15:15:08
154	2017-10-05	TTM-00000002	0.51		0.05						2	0.56	0.55	0.01	2017-11-27 15:15:08
155	2017-10-06	TTM-00000002	0.1				2.3600000000000003				6	2.46	-2.54	2.5	2017-11-27 15:15:12
156	2017-10-06	TTM-00000013	0.1								1	0.1	0.1	0	2017-11-27 15:15:12
157	2017-10-09	TTM-00000002	1.03								1	1.03	1.01	0.01	2017-11-27 15:15:15
158	2017-10-10	TTM-00000001						0.2			2	0.2	-1.8	1	2017-11-27 15:15:21
159	2017-10-10	TTM-00000002	5.209999999999998				0.51	0.2			13	5.92	2.82	1.55	2017-11-27 15:15:21
160	2017-10-10	TTM-00000010					100				1	100	99	0.5	2017-11-27 15:15:21
161	2017-10-11	TTM-00000002	42.95000000000001				1.06				11	44.01	42.15	0.93	2017-11-27 15:15:33
162	2017-10-11	TTM-00000010	12								2	12	11.76	0.12	2017-11-27 15:15:33
163	2017-10-13	TTM-00000002	109.49999999999996		2		0.5	1			35	113	108.77	2.11	2017-11-27 15:15:47
164	2017-10-13	TTM-00000010	130								1	130	127.4	1.3	2017-11-27 15:15:47
